image_id,color,color_id,color_percentage
925,Brown,0,69.72
407,Brown,0,68.14
525,Brown,0,66.21
209,Brown,0,64.84
503,Brown,0,64.71
622,Brown,0,63.51
349,Brown,0,61.53
502,Brown,0,60.47
559,Brown,0,60.43
940,Brown,0,57.56
618,Brown,0,56.89
232,Brown,0,55.7
53,Brown,0,55.55
468,Brown,0,55.18
260,Brown,0,54.76
708,Brown,0,54.69
91,Brown,0,53.33
442,Brown,0,53.1
465,Brown,0,52.66
681,Brown,0,52.49
812,Brown,0,52.08
167,Brown,0,51.68
446,Brown,0,51.15
842,Brown,0,50.13
508,Brown,0,49.76
320,Brown,0,49.1
885,Brown,0,49.02
625,Brown,0,48.67
294,Brown,0,48.06
355,Brown,0,48.04
6,Brown,0,47.97
967,Brown,0,47.72
710,Brown,0,47.58
601,Brown,0,47.44
100,Brown,0,47.39
570,Brown,0,46.04
937,Brown,0,44.37
745,Brown,0,44.1
148,Brown,0,43.98
292,Brown,0,43.9
367,Brown,0,43.81
458,Brown,0,43.73
404,Brown,0,43.58
36,Brown,0,43.51
434,Brown,0,43.42
455,Brown,0,43.32
713,Brown,0,42.91
253,Brown,0,42.84
604,Brown,0,42.68
397,Brown,0,42.17
368,Brown,0,42.17
907,Brown,0,42.03
135,Brown,0,41.67
511,Brown,0,41.54
909,Brown,0,40.96
902,Brown,0,40.72
340,Brown,0,40.3
875,Brown,0,40.29
366,Brown,0,40.16
284,Brown,0,40.04
639,Brown,0,39.97
864,Brown,0,39.81
41,Brown,0,39.78
603,Brown,0,39.37
399,Brown,0,39.36
219,Brown,0,39.31
492,Brown,0,39.28
948,Brown,0,39.19
900,Brown,0,39.06
505,Brown,0,39.01
635,Brown,0,38.43
441,Brown,0,38.4
532,Brown,0,38.08
493,Brown,0,37.99
431,Brown,0,37.9
371,Brown,0,37.4
189,Brown,0,37.18
749,Brown,0,36.95
387,Brown,0,36.79
515,Brown,0,36.79
233,Brown,0,36.72
65,Brown,0,36.69
311,Brown,0,36.64
323,Brown,0,36.24
615,Brown,0,36.23
118,Brown,0,36.05
697,Brown,0,36.04
281,Brown,0,35.73
345,Brown,0,34.98
370,Brown,0,34.97
174,Brown,0,34.77
235,Brown,0,34.61
378,Brown,0,34.52
653,Brown,0,34.35
860,Brown,0,34.26
742,Brown,0,34.26
335,Brown,0,33.91
464,Brown,0,33.69
677,Brown,0,33.65
241,Brown,0,33.62
164,Brown,0,33.6
790,Brown,0,33.51
539,Brown,0,33.5
961,Brown,0,33.04
212,Brown,0,32.96
291,Brown,0,32.85
958,Brown,0,32.75
218,Brown,0,32.64
972,Brown,0,32.44
850,Brown,0,32.43
912,Brown,0,32.41
327,Brown,0,32.31
62,Brown,0,32.31
498,Brown,0,32.26
102,Brown,0,32.26
975,Brown,0,32.25
877,Brown,0,32.2
531,Brown,0,31.98
64,Brown,0,31.93
674,Brown,0,31.5
258,Brown,0,31.27
589,Brown,0,31.13
683,Brown,0,31.1
923,Brown,0,30.99
56,Brown,0,30.98
432,Brown,0,30.79
375,Brown,0,30.77
469,Brown,0,30.7
152,Brown,0,30.64
568,Brown,0,30.59
34,Brown,0,30.53
687,Brown,0,29.91
640,Brown,0,29.74
165,Brown,0,29.74
266,Brown,0,29.74
211,Brown,0,29.59
338,Brown,0,29.51
739,Brown,0,29.36
533,Brown,0,29.21
551,Brown,0,29.06
847,Brown,0,28.97
786,Brown,0,28.96
643,Brown,0,28.78
439,Brown,0,28.77
422,Brown,0,28.71
153,Brown,0,28.62
761,Brown,0,28.6
163,Brown,0,28.56
155,Brown,0,28.54
63,Brown,0,28.46
129,Brown,0,28.43
896,Brown,0,28.37
99,Brown,0,28.2
800,Brown,0,28.02
395,Brown,0,27.87
732,Brown,0,27.87
409,Brown,0,27.71
279,Brown,0,27.7
192,Brown,0,27.52
520,Brown,0,27.47
413,Brown,0,27.39
113,Brown,0,27.32
547,Brown,0,27.3
499,Brown,0,27.28
641,Brown,0,27.27
827,Brown,0,27.18
268,Brown,0,26.96
957,Brown,0,26.94
362,Brown,0,26.93
244,Brown,0,26.83
296,Brown,0,26.76
688,Brown,0,26.66
928,Brown,0,26.63
324,Brown,0,26.59
552,Brown,0,26.53
29,Brown,0,26.51
979,Brown,0,26.49
776,Brown,0,26.46
973,Brown,0,26.32
743,Brown,0,26.29
707,Brown,0,26.22
840,Brown,0,26.07
84,Brown,0,25.73
276,Brown,0,25.73
908,Brown,0,25.48
629,Brown,0,25.46
880,Brown,0,25.45
507,Brown,0,25.34
470,Brown,0,25.33
755,Brown,0,25.29
120,Brown,0,25.25
82,Brown,0,25.12
336,Brown,0,25.0
45,Brown,0,24.98
215,Brown,0,24.98
20,Brown,0,24.96
927,Brown,0,24.94
463,Brown,0,24.9
308,Brown,0,24.81
162,Brown,0,24.76
869,Orange,1,97.05
768,Orange,1,96.12
489,Orange,1,95.56
77,Orange,1,93.97
252,Orange,1,93.04
565,Orange,1,91.91
853,Orange,1,88.27
943,Orange,1,88.05
289,Orange,1,87.94
213,Orange,1,87.34
49,Orange,1,86.39
286,Orange,1,85.94
180,Orange,1,85.42
854,Orange,1,84.89
17,Orange,1,84.07
453,Orange,1,82.48
522,Orange,1,82.22
968,Orange,1,82.17
361,Orange,1,81.93
411,Orange,1,81.84
269,Orange,1,80.49
206,Orange,1,79.34
462,Orange,1,78.68
730,Orange,1,78.58
344,Orange,1,76.83
836,Orange,1,76.27
290,Orange,1,76.2
774,Orange,1,75.3
762,Orange,1,74.36
905,Orange,1,74.34
548,Orange,1,72.9
359,Orange,1,71.94
130,Orange,1,71.79
543,Orange,1,71.01
330,Orange,1,70.9
295,Orange,1,70.38
628,Orange,1,69.99
953,Orange,1,69.89
67,Orange,1,69.2
858,Orange,1,69.18
985,Orange,1,69.1
586,Orange,1,68.77
322,Orange,1,68.71
35,Orange,1,68.61
329,Orange,1,68.56
988,Orange,1,68.52
751,Orange,1,68.09
529,Orange,1,68.03
187,Orange,1,67.51
607,Orange,1,66.62
300,Orange,1,66.29
779,Orange,1,65.99
247,Orange,1,65.19
58,Orange,1,65.1
351,Orange,1,64.92
555,Orange,1,64.74
318,Orange,1,64.52
364,Orange,1,64.28
648,Orange,1,64.11
519,Orange,1,64.1
478,Orange,1,63.98
228,Orange,1,63.82
650,Orange,1,63.45
203,Orange,1,62.99
621,Orange,1,62.67
993,Orange,1,61.94
518,Orange,1,61.93
636,Orange,1,61.55
195,Orange,1,61.41
390,Orange,1,61.14
963,Orange,1,60.71
826,Orange,1,60.59
426,Orange,1,60.11
736,Orange,1,59.42
866,Orange,1,59.37
224,Orange,1,59.22
255,Orange,1,59.2
791,Orange,1,59.0
514,Orange,1,58.88
106,Orange,1,58.68
115,Orange,1,58.61
870,Orange,1,58.39
982,Orange,1,56.88
136,Orange,1,56.48
483,Orange,1,56.39
202,Orange,1,56.3
352,Orange,1,56.13
682,Orange,1,55.8
634,Orange,1,55.45
613,Orange,1,54.65
40,Orange,1,54.52
619,Orange,1,54.33
273,Orange,1,54.17
176,Orange,1,53.82
851,Orange,1,53.74
78,Orange,1,53.64
109,Orange,1,53.5
703,Orange,1,53.21
208,Orange,1,53.17
90,Orange,1,53.12
30,Orange,1,52.84
363,Orange,1,52.59
477,Orange,1,52.56
264,Orange,1,52.51
257,Orange,1,52.47
874,Orange,1,52.32
