image_id,color,color_id
0,Brown,0
1,Yellow,3
2,Brown,0
3,Red,2
4,Brown,0
5,Brown,0
6,Brown,0
7,Red,2
8,Red,2
9,Orange,1
10,Brown,0
11,Yellow,3
12,Orange,1
13,Yellow,3
14,Brown,0
15,Brown,0
16,Yellow,3
17,Orange,1
18,Orange,1
19,Orange,1
20,Brown,0
21,Brown,0
22,Brown,0
23,Orange,1
24,Brown,0
25,Brown,0
26,Brown,0
27,Yellow,3
28,Yellow,3
29,Brown,0
30,Orange,1
31,Yellow,3
32,Yellow,3
33,Yellow,3
34,Orange,1
35,Orange,1
36,Brown,0
37,Orange,1
38,Yellow,3
39,Brown,0
40,Orange,1
41,Brown,0
42,Yellow,3
43,Brown,0
44,Brown,0
45,Brown,0
46,Yellow,3
47,Brown,0
48,Yellow,3
49,Orange,1
50,Brown,0
51,Yellow,3
52,Brown,0
53,Brown,0
54,Brown,0
55,Yellow,3
56,Brown,0
57,Orange,1
58,Orange,1
59,Orange,1
60,Brown,0
61,Brown,0
62,Brown,0
63,Brown,0
64,Brown,0
65,Brown,0
66,Brown,0
67,Orange,1
68,Yellow,3
69,Brown,0
70,Brown,0
71,Brown,0
72,Brown,0
73,Brown,0
74,Yellow,3
75,Brown,0
76,Brown,0
77,Orange,1
78,Orange,1
79,Brown,0
80,Brown,0
81,Brown,0
82,Brown,0
83,Yellow,3
84,Brown,0
85,Orange,1
86,Brown,0
87,Brown,0
88,Brown,0
89,Brown,0
90,Orange,1
91,Brown,0
92,Orange,1
93,Yellow,3
94,Brown,0
95,Orange,1
96,Orange,1
97,Orange,1
98,Yellow,3
99,Brown,0
100,Brown,0
101,Brown,0
102,Brown,0
103,Brown,0
104,Yellow,3
105,Orange,1
106,Orange,1
107,Yellow,3
108,Brown,0
109,Orange,1
110,Brown,0
111,Orange,1
112,Orange,1
113,Brown,0
114,Orange,1
115,Orange,1
116,Orange,1
117,Red,2
118,Brown,0
119,Orange,1
120,Brown,0
121,Orange,1
122,Brown,0
123,Orange,1
124,Brown,0
125,Brown,0
126,Brown,0
127,Orange,1
128,Orange,1
129,Orange,1
130,Orange,1
131,Brown,0
132,Red,2
133,Brown,0
134,Orange,1
135,Brown,0
136,Orange,1
137,Orange,1
138,Brown,0
139,Yellow,3
140,Orange,1
141,Yellow,3
142,Yellow,3
143,Orange,1
144,Orange,1
145,Yellow,3
146,Red,2
147,Orange,1
148,Brown,0
149,Yellow,3
150,Orange,1
151,Brown,0
152,Orange,1
153,Brown,0
154,Brown,0
155,Brown,0
156,Brown,0
157,Orange,1
158,Yellow,3
159,Orange,1
160,Brown,0
161,Orange,1
162,Orange,1
163,Brown,0
164,Brown,0
165,Brown,0
166,Orange,1
167,Brown,0
168,Yellow,3
169,Orange,1
170,Brown,0
171,Brown,0
172,Brown,0
173,Brown,0
174,Brown,0
175,Brown,0
176,Orange,1
177,Brown,0
178,Yellow,3
179,Brown,0
180,Orange,1
181,Orange,1
182,Orange,1
183,Yellow,3
184,Brown,0
185,Orange,1
186,Brown,0
187,Orange,1
188,Brown,0
189,Brown,0
190,Yellow,3
191,Brown,0
192,Orange,1
193,Brown,0
194,Brown,0
195,Orange,1
196,Yellow,3
197,Brown,0
198,Orange,1
199,Orange,1
200,Yellow,3
201,Brown,0
202,Orange,1
203,Orange,1
204,Yellow,3
205,Brown,0
206,Orange,1
207,Orange,1
208,Orange,1
209,Brown,0
210,Orange,1
211,Brown,0
212,Brown,0
213,Orange,1
214,Brown,0
215,Brown,0
216,Orange,1
217,Orange,1
218,Brown,0
219,Brown,0
220,Brown,0
221,Brown,0
222,Brown,0
223,Yellow,3
224,Orange,1
225,Brown,0
226,Brown,0
227,Orange,1
228,Orange,1
229,Brown,0
230,Brown,0
231,Yellow,3
232,Brown,0
233,Brown,0
234,Brown,0
235,Brown,0
236,Orange,1
237,Yellow,3
238,Brown,0
239,Yellow,3
240,Brown,0
241,Brown,0
242,Brown,0
243,Orange,1
244,Orange,1
245,Brown,0
246,Red,2
247,Orange,1
248,Yellow,3
249,Brown,0
250,Orange,1
251,Yellow,3
252,Orange,1
253,Brown,0
254,Brown,0
255,Orange,1
256,Brown,0
257,Orange,1
258,Brown,0
259,Orange,1
260,Brown,0
261,Brown,0
262,Orange,1
263,Brown,0
264,Orange,1
265,Orange,1
266,Brown,0
267,Orange,1
268,Orange,1
269,Orange,1
270,Orange,1
271,Brown,0
272,Brown,0
273,Orange,1
274,Yellow,3
275,Orange,1
276,Brown,0
277,Brown,0
278,Orange,1
279,Orange,1
280,Brown,0
281,Brown,0
282,Brown,0
283,Brown,0
284,Brown,0
285,Orange,1
286,Orange,1
287,Yellow,3
288,Orange,1
289,Orange,1
290,Orange,1
291,Brown,0
292,Brown,0
293,Brown,0
294,Brown,0
295,Orange,1
296,Orange,1
297,Orange,1
298,Orange,1
299,Brown,0
300,Orange,1
301,Orange,1
302,Orange,1
303,Yellow,3
304,Brown,0
305,Brown,0
306,Yellow,3
307,Brown,0
308,Orange,1
309,Brown,0
310,Yellow,3
311,Brown,0
312,Brown,0
313,Orange,1
314,Yellow,3
315,Yellow,3
316,Brown,0
317,Yellow,3
318,Orange,1
319,Orange,1
320,Brown,0
321,Orange,1
322,Orange,1
323,Brown,0
324,Brown,0
325,Yellow,3
326,Brown,0
327,Brown,0
328,Orange,1
329,Orange,1
330,Orange,1
331,Orange,1
332,Orange,1
333,Brown,0
334,Brown,0
335,Brown,0
336,Brown,0
337,Brown,0
338,Orange,1
339,Orange,1
340,Brown,0
341,Brown,0
342,Orange,1
343,Brown,0
344,Orange,1
345,Brown,0
346,Orange,1
347,Orange,1
348,Brown,0
349,Brown,0
350,Brown,0
351,Orange,1
352,Orange,1
353,Orange,1
354,Brown,0
355,Brown,0
356,Orange,1
357,Yellow,3
358,Brown,0
359,Orange,1
360,Brown,0
361,Orange,1
362,Brown,0
363,Orange,1
364,Orange,1
365,Brown,0
366,Brown,0
367,Brown,0
368,Brown,0
369,Brown,0
370,Brown,0
371,Yellow,3
372,Yellow,3
373,Yellow,3
374,Orange,1
375,Orange,1
376,Yellow,3
377,Yellow,3
378,Brown,0
379,Yellow,3
380,Yellow,3
381,Yellow,3
382,Yellow,3
383,Orange,1
384,Brown,0
385,Brown,0
386,Yellow,3
387,Brown,0
388,Yellow,3
389,Brown,0
390,Orange,1
391,Brown,0
392,Yellow,3
393,Yellow,3
394,Brown,0
395,Brown,0
396,Orange,1
397,Brown,0
398,Orange,1
399,Brown,0
400,Orange,1
401,Yellow,3
402,Brown,0
403,Yellow,3
404,Brown,0
405,Brown,0
406,Orange,1
407,Brown,0
408,Orange,1
409,Orange,1
410,Yellow,3
411,Orange,1
412,Brown,0
413,Brown,0
414,Brown,0
415,Brown,0
416,Brown,0
417,Yellow,3
418,Yellow,3
419,Brown,0
420,Orange,1
421,Orange,1
422,Orange,1
423,Red,2
424,Yellow,3
425,Brown,0
426,Orange,1
427,Brown,0
428,Brown,0
429,Brown,0
430,Brown,0
431,Brown,0
432,Brown,0
433,Yellow,3
434,Brown,0
435,Brown,0
436,Orange,1
437,Brown,0
438,Yellow,3
439,Brown,0
440,Yellow,3
441,Brown,0
442,Brown,0
443,Orange,1
444,Brown,0
445,Brown,0
446,Brown,0
447,Yellow,3
448,Orange,1
449,Brown,0
450,Orange,1
451,Orange,1
452,Orange,1
453,Orange,1
454,Orange,1
455,Brown,0
456,Orange,1
457,Brown,0
458,Brown,0
459,Orange,1
460,Brown,0
461,Yellow,3
462,Orange,1
463,Brown,0
464,Brown,0
465,Brown,0
466,Brown,0
467,Brown,0
468,Brown,0
469,Brown,0
470,Orange,1
471,Yellow,3
472,Orange,1
473,Yellow,3
474,Brown,0
475,Yellow,3
476,Brown,0
477,Orange,1
478,Orange,1
479,Brown,0
480,Orange,1
481,Brown,0
482,Brown,0
483,Orange,1
484,Red,2
485,Brown,0
486,Brown,0
487,Yellow,3
488,Yellow,3
489,Orange,1
490,Brown,0
491,Yellow,3
492,Brown,0
493,Brown,0
494,Orange,1
495,Yellow,3
496,Yellow,3
497,Yellow,3
498,Brown,0
499,Brown,0
500,Orange,1
501,Brown,0
502,Brown,0
503,Brown,0
504,Brown,0
505,Brown,0
506,Yellow,3
507,Orange,1
508,Brown,0
509,Brown,0
510,Yellow,3
511,Brown,0
512,Brown,0
513,Brown,0
514,Orange,1
515,Brown,0
516,Yellow,3
517,Brown,0
518,Orange,1
519,Orange,1
520,Brown,0
521,Orange,1
522,Orange,1
523,Brown,0
524,Orange,1
525,Brown,0
526,Orange,1
527,Brown,0
528,Yellow,3
529,Orange,1
530,Yellow,3
531,Brown,0
532,Brown,0
533,Orange,1
534,Yellow,3
535,Yellow,3
536,Yellow,3
537,Brown,0
538,Yellow,3
539,Brown,0
540,Orange,1
541,Brown,0
542,Brown,0
543,Orange,1
544,Yellow,3
545,Orange,1
546,Yellow,3
547,Brown,0
548,Orange,1
549,Brown,0
550,Brown,0
551,Brown,0
552,Brown,0
553,Yellow,3
554,Brown,0
555,Orange,1
556,Brown,0
557,Brown,0
558,Brown,0
559,Brown,0
560,Orange,1
561,Brown,0
562,Brown,0
563,Yellow,3
564,Brown,0
565,Orange,1
566,Brown,0
567,Yellow,3
568,Brown,0
569,Yellow,3
570,Brown,0
571,Brown,0
572,Brown,0
573,Orange,1
574,Orange,1
575,Orange,1
576,Yellow,3
577,Brown,0
578,Orange,1
579,Yellow,3
580,Orange,1
581,Orange,1
582,Brown,0
583,Brown,0
584,Yellow,3
585,Brown,0
586,Orange,1
587,Brown,0
588,Brown,0
589,Brown,0
590,Yellow,3
591,Brown,0
592,Orange,1
593,Yellow,3
594,Brown,0
