image_id,dominant_color,secondary_color,detected_colors
0,Brown,Yellow,"Yellow,Brown"
1,Yellow,Brown,"Yellow,Blue,Brown"
2,Brown,Yellow,"Yellow,Brown"
3,Red,Brown,"Red,Brown"
4,Brown,Red,"Red,Orange,Yellow,Brown"
5,Brown,Orange,"Orange,Yellow,Brown"
6,Brown,Yellow,"Yellow,Brown"
7,Red,Brown,"Red,Yellow,Brown"
8,Red,Brown,"Red,Orange,Yellow,Brown"
9,Orange,Brown,"Orange,Brown"
10,Brown,Blue,"Blue,Brown"
11,Yellow,Brown,"Orange,Yellow,Brown"
12,Orange,Brown,"Orange,Yellow,Brown"
13,Green,Yellow,"Yellow,Green,Brown"
14,Brown,none,Brown
15,Cyan,Brown,"Cyan,Blue,Brown"
16,Yellow,Orange,"Orange,Yellow"
17,Orange,Brown,"Orange,Brown"
18,Orange,Brown,"Orange,Brown"
19,Orange,Brown,"Orange,Yellow,Brown"
20,Brown,Orange,"Red,Orange,Brown"
21,Brown,Orange,"Orange,Yellow,Brown"
22,Brown,Red,"Red,Orange,Brown"
23,Orange,Brown,"Red,Orange,Brown"
24,Brown,Orange,"Orange,Brown"
25,Brown,Orange,"Orange,Brown"
26,Brown,Orange,"Red,Orange,Brown"
27,Yellow,Orange,"Orange,Yellow,Brown"
28,Green,Yellow,"Orange,Yellow,Green,Brown"
29,Brown,Yellow,"Orange,Yellow,Brown"
30,Orange,Brown,"Orange,Brown"
31,Yellow,Orange,"Orange,Yellow"
32,Yellow,Orange,"Orange,Yellow"
33,Yellow,Brown,"Orange,Yellow,Brown"
34,Orange,Brown,"Orange,Yellow,Brown"
35,Orange,Yellow,"Orange,Yellow,Brown"
36,Brown,Orange,"Orange,Brown"
37,Orange,Yellow,"Orange,Yellow,Brown"
38,Yellow,Orange,"Orange,Yellow,Brown"
39,Brown,Orange,"Orange,Yellow,Brown"
40,Orange,Brown,"Orange,Yellow,Brown"
41,Brown,Orange,"Orange,Brown"
42,Yellow,Red,"Red,Orange,Yellow,Purple,Brown"
43,Brown,Orange,"Orange,Brown"
44,Green,Cyan,"Green,Cyan,Brown"
45,Brown,Yellow,"Orange,Yellow,Brown"
46,Yellow,Orange,"Orange,Yellow,Brown"
47,Brown,Red,"Red,Orange,Brown"
48,Yellow,Brown,"Orange,Yellow,Brown"
49,Orange,Brown,"Orange,Brown"
50,Brown,Yellow,"Orange,Yellow,Brown"
51,Yellow,none,Yellow
52,Brown,none,Brown
53,Brown,Orange,"Orange,Brown"
54,Brown,Yellow,"Orange,Yellow,Brown"
55,Yellow,Brown,"Yellow,Green,Brown"
56,Brown,Yellow,"Orange,Yellow,Brown"
57,Orange,Brown,"Orange,Brown"
58,Orange,Brown,"Orange,Brown"
59,Orange,Brown,"Orange,Brown"
60,Brown,Orange,"Orange,Brown"
61,Brown,Yellow,"Yellow,Brown"
62,Brown,Orange,"Orange,Brown"
63,Brown,Orange,"Orange,Brown"
64,Brown,Orange,"Red,Orange,Brown"
65,Brown,Orange,"Orange,Brown"
66,Brown,Red,"Red,Brown"
67,Orange,Brown,"Orange,Yellow,Brown"
68,Yellow,Orange,"Orange,Yellow,Brown"
69,Brown,Orange,"Red,Orange,Brown"
70,Brown,Red,"Red,Brown"
71,Brown,Orange,"Orange,Brown"
72,Brown,Red,"Red,Orange,Brown"
73,Brown,Orange,"Orange,Brown"
74,Yellow,Orange,"Orange,Yellow"
75,Brown,Red,"Red,Brown"
76,Brown,Blue,"Blue,Brown"
77,Orange,none,Orange
78,Orange,Brown,"Orange,Yellow,Brown"
79,Brown,Orange,"Orange,Yellow,Brown"
80,Brown,Orange,"Orange,Brown"
81,Brown,Red,"Red,Orange,Brown"
82,Brown,Orange,"Orange,Yellow,Brown"
83,Yellow,Orange,"Orange,Yellow"
84,Brown,Purple,"Red,Purple,Brown"
85,Orange,Brown,"Red,Orange,Brown"
86,Brown,Orange,"Orange,Brown"
87,Brown,Orange,"Orange,Brown"
88,Brown,Orange,"Orange,Brown"
89,Brown,Red,"Red,Brown"
90,Orange,Yellow,"Orange,Yellow,Brown"
91,Brown,none,Brown
92,Orange,Brown,"Orange,Brown"
93,Yellow,none,Yellow
94,Brown,Orange,"Orange,Brown"
95,Orange,Brown,"Red,Orange,Yellow,Brown"
96,Orange,Brown,"Orange,Yellow,Brown"
97,Orange,Brown,"Orange,Brown"
98,Yellow,Orange,"Orange,Yellow,Brown"
99,Brown,Orange,"Orange,Yellow,Brown"
100,Brown,none,Brown
101,Brown,Yellow,"Yellow,Brown"
102,Brown,Orange,"Orange,Brown"
103,Brown,Orange,"Red,Orange,Yellow,Brown"
104,Yellow,none,Yellow
105,Orange,Yellow,"Orange,Yellow,Brown"
106,Orange,Brown,"Orange,Brown"
107,Yellow,Orange,"Orange,Yellow,Brown"
108,Brown,Orange,"Orange,Brown"
109,Orange,Brown,"Orange,Yellow,Brown"
110,Brown,Orange,"Orange,Brown"
111,Orange,Yellow,"Orange,Yellow,Brown"
112,Orange,Brown,"Orange,Brown"
113,Brown,Red,"Red,Orange,Brown"
114,Orange,Brown,"Red,Orange,Brown"
115,Orange,Yellow,"Orange,Yellow,Brown"
116,Orange,Brown,"Orange,Brown"
117,Red,Blue,"Red,Orange,Blue,Brown"
118,Brown,Orange,"Orange,Yellow,Brown"
119,Orange,Brown,"Orange,Yellow,Brown"
120,Brown,Orange,"Orange,Brown"
121,Orange,Yellow,"Orange,Yellow,Brown"
122,Brown,Orange,"Orange,Yellow,Brown"
123,Orange,Brown,"Orange,Brown"
124,Brown,Orange,"Orange,Brown"
125,Brown,none,Brown
126,Brown,Orange,"Orange,Brown"
127,Orange,Yellow,"Orange,Yellow,Brown"
128,Orange,Yellow,"Orange,Yellow,Brown"
129,Orange,Brown,"Orange,Yellow,Brown"
130,Orange,Brown,"Orange,Brown"
131,Brown,Orange,"Orange,Brown"
132,Blue,Red,"Red,Orange,Blue,Purple,Brown"
133,Brown,none,Brown
134,Orange,Yellow,"Orange,Yellow,Brown"
135,Brown,Orange,"Orange,Brown"
136,Orange,Brown,"Orange,Yellow,Brown"
137,Orange,Brown,"Orange,Yellow,Brown"
138,Brown,Red,"Red,Brown"
139,Yellow,Brown,"Yellow,Green,Brown"
140,Orange,Brown,"Orange,Brown"
141,Yellow,Brown,"Orange,Yellow,Brown"
142,Yellow,Green,"Yellow,Green"
143,Orange,Brown,"Red,Orange,Brown"
144,Orange,Brown,"Orange,Brown"
145,Yellow,Brown,"Orange,Yellow,Brown"
146,Red,Blue,"Red,Orange,Blue,Purple,Brown"
147,Orange,Brown,"Orange,Brown"
148,Brown,none,Brown
149,Yellow,Orange,"Orange,Yellow"
150,Orange,Brown,"Orange,Yellow,Brown"
151,Brown,Orange,"Orange,Brown"
152,Orange,Brown,"Orange,Brown"
153,Brown,Orange,"Orange,Brown"
154,Brown,Orange,"Orange,Brown"
155,Brown,Orange,"Red,Orange,Brown"
156,Brown,Purple,"Orange,Yellow,Purple,Brown"
